No,Student Id,First name,Last name,Gender,Day of birth,Social ID,Other mark,Midterm mark,Final mark,Total mark
1,23126022,Tran Thi,Thu Trang,Female,7/7/2004,987321654,7,8,9,8
2,23126023,Le Van,Minh Hieu,Male,23/05/2006,456987321,8,7,8,7
3,23126024,Pham Van,Anh Tuan,Male,12/3/2005,654321987,9,9,8,9
4,23126025,Nguyen Thi,Huong Giang,Female,30/09/2004,321987654,7,8,7,7
5,23126026,Tran Van,Thanh Son,Male,19/11/2003,654789123,8,8,9,8
6,23126027,Le Thi,Hong Hanh,Female,4/8/2006,456321987,9,7,8,8
7,23126028,Pham Van,Quang Hieu,Male,15/06/2005,789654321,7,9,7,8
8,23126029,Nguyen Van,Trung Kien,Male,28/04/2004,321456987,8,8,9,8
9,23126030,Tran Thi,Thuy Linh,Female,9/12/2003,654987321,9,9,8,9
10,23126031,Le Van,Quoc Toan,Male,26/10/2006,456123789,7,7,8,7
11,23126032,Pham Thi,Hoa Binh,Female,13/02/2005,789456123,8,7,9,8
12,23126033,Nguyen Van,Anh Dung,Male,21/01/2004,321789456,9,8,7,8
13,23126034,Tran Van,Hoang Nam,Male,8/7/2003,654321789,7,8,6,7
14,23126035,Le Thi,Thu Hien,Female,17/05/2006,456789321,8,7,9,8
15,23126036,Pham Van,Duc Anh,Male,3/9/2005,789123456,9,8,7,8
16,23126037,Nguyen Thi,Huong Lan,Female,11/3/2004,321654789,7,8,6,7
17,23126038,Tran Van,Quang Vinh,Male,20/08/2003,654987123,8,7,8,7
18,23126039,Le Thi,Ngoc Ha,Female,5/6/2006,456789012,9,9,9,9
19,23126040,Pham Van,Tuan Anh,Male,14/12/2005,789012345,7,8,7,7
